date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:31	1449/1449	---MCZ	404	error ('Not%20Found')	text/html	etag:1525329028-ssl-df	https://distributorepoxy.netlify.app/robots.txt		(from )
14:14:31	58990/58990	---MCZ	200	added ('OK')	text/html	etag:%222b52c98268cd6b23617248f3cabda589-ssl-df%22	https://distributorepoxy.netlify.app/	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/index.html	(from )
14:14:31	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1525329028-ssl-df	https://distributorepoxy.netlify.app/feed	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/feed.0.delayed	(from https://distributorepoxy.netlify.app/)
14:14:32	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1525329028-ssl-df	https://distributorepoxy.netlify.app/comments/feed	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/comments/feed.1.delayed	(from https://distributorepoxy.netlify.app/)
14:14:33	1712/1712	---M-Z	200	added ('OK')	text/css	etag:%22058c341c192fa6c84f3aaeb844fe81aa-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.1	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/plugins/contact-form-7/includes/css/styles972f.css	(from https://distributorepoxy.netlify.app/)
14:14:33	12711/12711	---MCZ	200	added ('OK')	text/css	etag:%2239f061c5c86b31ad9c3ebf0ea3e48445-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/plugins/easy-facebook-likebox/public/assets/css/public.css?ver=4.3.5	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/plugins/easy-facebook-likebox/public/assets/css/public8f76.css	(from https://distributorepoxy.netlify.app/)
14:14:39	29063/29063	---MCZ	200	added ('OK')	text/css	etag:%22ee5ca5f79217874c67a33a9eab2f5de9-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/plugins/easy-facebook-likebox/public/assets/css/font-awesome.css?ver=4.3.5	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/plugins/easy-facebook-likebox/public/assets/css/font-awesome8f76.css	(from https://distributorepoxy.netlify.app/)
14:14:39	72259/72259	---MCZ	200	added ('OK')	text/css	etag:%22d623c69450bed82dbe25b650858d3307-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/plugins/easy-facebook-likebox/public/assets/css/animate.css?ver=4.3.5	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/plugins/easy-facebook-likebox/public/assets/css/animate8f76.css	(from https://distributorepoxy.netlify.app/)
14:14:40	7789/7789	---MCZ	200	added ('OK')	text/css	etag:%22127aca2fcffa08b636b0001abf06af83-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/plugins/easy-facebook-likebox/public/assets/popup/magnific-popup.css?ver=4.3.5	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/plugins/easy-facebook-likebox/public/assets/popup/magnific-popup8f76.css	(from https://distributorepoxy.netlify.app/)
14:14:40	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1525329028-ssl-df	https://distributorepoxy.netlify.app/wp-content/plugins/page-generator-pro/assets/css/frontend.css?ver=4.9.5	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/plugins/page-generator-pro/assets/css/frontend.755fe.delayed	(from https://distributorepoxy.netlify.app/)
14:14:41	971/971	---M--	200	added ('OK')	text/css	etag:%22b6cc2f244abc9db459d80078956f2584-ssl%22	https://distributorepoxy.netlify.app/wp-content/plugins/siteorigin-panels/css/front-flex.min.css?ver=2.6.3	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/plugins/siteorigin-panels/css/front-flex.min6fca.css	(from https://distributorepoxy.netlify.app/)
14:14:42	1802/1802	---M-Z	200	added ('OK')	text/css	etag:%22f0f7b2de125363684168993958d33447-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/plugins/so-widgets-bundle/widgets/features/css/style.css?ver=1.11.7	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/plugins/so-widgets-bundle/widgets/features/css/styled8ec.css	(from https://distributorepoxy.netlify.app/)
14:14:42	4793/4793	---MCZ	200	added ('OK')	text/css	etag:%22ff1c32ee3f4b2d159de5b74aad5c62f2-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/uploads/siteorigin-widgets/sow-features-default-0d5b028b9907.css?ver=4.9.5	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/uploads/siteorigin-widgets/sow-features-default-0d5b028b990755fe.css	(from https://distributorepoxy.netlify.app/)
14:14:43	1187/1187	---M-Z	200	added ('OK')	text/css	etag:%22dfc0cfec11f338abcd3af09ca90cfcca-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/themes/somalite/style.css?ver=4.9.5	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/themes/somalite/style55fe.css	(from https://distributorepoxy.netlify.app/)
14:14:43	146159/146159	---MCZ	200	added ('OK')	text/css	etag:%228cd500aa5aaeda3439c441c5d69a42a8-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/themes/somalite/css/bootstrap.css?ver=3.3.7	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/themes/somalite/css/bootstrap7433.css	(from https://distributorepoxy.netlify.app/)
14:14:44	35283/35283	---MCZ	200	added ('OK')	text/css	etag:%223ce934af35c9cd20591d69588484cec4-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/themes/somalite/css/font-awesome.css?ver=4.6.3	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/themes/somalite/css/font-awesome4698.css	(from https://distributorepoxy.netlify.app/)
14:14:45	8626/8626	---MCZ	200	added ('OK')	text/css	etag:%224cb3bbbcb7a45a90354a0ca71df489c9-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/themes/somalite/css/icon-font.css?ver=1.0.0	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/themes/somalite/css/icon-font8a54.css	(from https://distributorepoxy.netlify.app/)
14:14:45	6951/6951	---MCZ	200	added ('OK')	text/css	etag:%2284f63e93cd9e99f1442ee1c70e881200-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/themes/somalite/css/magnific-popup.css?ver=1.1.0	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/themes/somalite/css/magnific-popupf488.css	(from https://distributorepoxy.netlify.app/)
14:14:46	25612/25612	---MCZ	200	added ('OK')	text/css	etag:%2284f96b9781ab26364a942972fcf0170f-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/themes/somalite/css/woocommerce-style.css?ver=1.2.7	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/themes/somalite/css/woocommerce-style4281.css	(from https://distributorepoxy.netlify.app/)
14:14:46	46853/46853	---MCZ	200	added ('OK')	text/css	etag:%22d5b2e04fe7522b0f1a76191bff522f08-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/themes/somalite/css/soma-style.css?ver=1.2.7	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/themes/somalite/css/soma-style4281.css	(from https://distributorepoxy.netlify.app/)
14:14:47	3821/3821	---MCZ	200	added ('OK')	text/css	etag:%2244ea6bf3e177380c7b61656580b48916-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/themes/somalite/css/soma-style-responsive.css?ver=1.2.7	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/themes/somalite/css/soma-style-responsive4281.css	(from https://distributorepoxy.netlify.app/)
14:14:47	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1525329028-ssl-df	https://distributorepoxy.netlify.app/wp-content/themes/somalite/css/page-builder.css?ver=1.0	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/themes/somalite/css/page-builder.135152.delayed	(from https://distributorepoxy.netlify.app/)
14:14:48	57095/57095	---MCZ	200	added ('OK')	text/css	etag:%225317e59f415ead68fdb8f59d687aa050-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/themes/somalite/css/animate.css?ver=1.0	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/themes/somalite/css/animate5152.css	(from https://distributorepoxy.netlify.app/)
14:14:48	97184/97184	---MCZ	200	added ('OK')	application/javascript	etag:%22337017f2b0c8603f9e3f958e5dff9853-ssl-df%22	https://distributorepoxy.netlify.app/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-includes/js/jquery/jqueryb8ff.js	(from https://distributorepoxy.netlify.app/)
14:14:49	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:%22990ec65025a307bc2ecdefa43c415104-ssl-df%22	https://distributorepoxy.netlify.app/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://distributorepoxy.netlify.app/)
14:14:49	21094/21094	---MCZ	200	added ('OK')	application/javascript	etag:%229d0ab71b620dac794d11ff8c6b34593a-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/plugins/easy-facebook-likebox/public/assets/popup/jquery.magnific-popup.min.js?ver=4.3.5	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/plugins/easy-facebook-likebox/public/assets/popup/jquery.magnific-popup.min8f76.js	(from https://distributorepoxy.netlify.app/)
14:14:50	3128/3128	---MCZ	200	added ('OK')	application/javascript	etag:%229284375abbffd6d1153773da272972d8-ssl-df%22	https://distributorepoxy.netlify.app/wp-content/plugins/easy-facebook-likebox/public/assets/js/jquery.cookie.js?ver=4.3.5	C:/My%20Web%20Sites/distributorepoxy.netlify.app/distributorepoxy.netlify.app/wp-content/plugins/easy-facebook-likebox/public/assets/js/jquery.cookie8f76.js	(from https://distributorepoxy.netlify.app/)
